,movie,year,ratings,metascore,votes
0,Logan,(2017),8.1,77,513452
1,Wonder Woman,(2017),7.5,76,440610
2,Dunkirk,(2017),7.9,94,422900
3,Star Wars: Episode VIII - The Last Jedi,(2017),7.2,85,420054
4,Guardians of the Galaxy Vol. 2,(2017),7.7,67,415769
5,Thor: Ragnarok,(2017),7.9,74,393689
6,Spider-Man: Homecoming,(2017),7.5,73,363017
7,Get Out,(I) (2017),7.7,84,336851
8,Blade Runner 2049,(2017),8.0,81,336451
9,Baby Driver,(2017),7.6,86,327845
10,It,(I) (2017),7.4,69,311143
11,Justice League,(2017),6.6,45,288431
12,"Three Billboards Outside Ebbing, Missouri",(2017),8.2,88,284643
13,The Shape of Water,(2017),7.4,87,256753
14,John Wick: Chapter 2,(2017),7.5,75,245492
15,Coco,(I) (2017),8.4,81,224196
16,Beauty and the Beast,(2017),7.2,65,218292
17,Kong: Skull Island,(2017),6.7,62,217446
18,Alien: Covenant,(2017),6.4,65,210683
19,Jumanji: Welcome to the Jungle,(2017),7.0,58,209270
20,Pirates of the Caribbean: Dead Men Tell No Tales,(2017),6.6,39,208750
21,Kingsman: The Golden Circle,(2017),6.8,44,205343
22,War for the Planet of the Apes,(2017),7.5,82,185848
23,The Fate of the Furious,(2017),6.7,56,168375
24,Life,(I) (2017),6.6,54,165868
25,Ghost in the Shell,(2017),6.4,52,161819
26,Murder on the Orient Express,(2017),6.5,52,159221
27,The Greatest Showman,(2017),7.7,48,158395
28,King Arthur: Legend of the Sword,(2017),6.8,41,156831
29,Lady Bird,(2017),7.5,94,149604
30,Wind River,(2017),7.7,73,146226
31,The Hitman's Bodyguard,(2017),6.9,47,146048
32,The Mummy,(2017),5.5,34,142236
33,Mother!,(2017),6.6,75,136948
34,Bright,(I) (2017),6.4,29,136351
35,Atomic Blonde,(2017),6.7,63,136167
36,Call Me by Your Name,(2017),8.0,93,127901
37,Valerian and the City of a Thousand Planets,(2017),6.5,51,127815
38,Baywatch,(2017),5.6,37,118420
39,American Made,(2017),7.2,65,116906
40,Darkest Hour,(2017),7.4,75,115072
41,"I, Tonya",(2017),7.5,77,113864
42,Transformers: The Last Knight,(2017),5.2,27,107023
43,The Lego Batman Movie,(2017),7.3,75,105254
44,The Dark Tower,(2017),5.7,34,98185
45,The Disaster Artist,(2017),7.4,76,96647
46,Logan Lucky,(2017),7.0,78,95013
